date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2026-04-02, 14:01:38	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:01:40	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:01:42	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:01:44	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:01:46	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:01:48	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:01:50	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:01:52	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:01:54	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:01:56	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:01:58	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:00	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:02	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:04	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:06	--- no data ---	--- no data ---	--- no data ---	--- no data ---
2026-04-02, 14:02:08	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:10	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:12	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:14	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:16	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:18	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:20	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:22	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:24	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:26	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:28	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:30	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:32	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:34	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:36	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:38	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:40	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:42	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:44	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:46	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:48	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:50	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:52	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:54	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:56	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:02:58	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:03:00	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:03:02	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:03:04	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:03:06	0 Hz	0 W	1,5E0 mbar	1,3E0 mbar
2026-04-02, 14:03:08	0 Hz	0 W	1,5E0 mbar	1,4E0 mbar
2026-04-02, 14:03:10	0 Hz	0 W	1,6E0 mbar	1,4E0 mbar
2026-04-02, 14:03:12	0 Hz	0 W	1E1 mbar	3,5E1 mbar
2026-04-02, 14:03:14	0 Hz	0 W	8,8E1 mbar	5,1E1 mbar
2026-04-02, 14:03:16	0 Hz	0 W	6,7E1 mbar	3,8E1 mbar
2026-04-02, 14:03:18	0 Hz	0 W	3,7E1 mbar	2,6E1 mbar
2026-04-02, 14:03:20	0 Hz	0 W	3,6E1 mbar	2,5E1 mbar
2026-04-02, 14:03:22	0 Hz	0 W	2E2 mbar	9,4E1 mbar
2026-04-02, 14:03:24	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2026-04-02, 14:03:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:03:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:03:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:03:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:03:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:03:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:03:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:03:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:03:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:03:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:03:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:03:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:03:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:03:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:03:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:03:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:03:58	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:00	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:02	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:04	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:10	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:04:58	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:00	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:02	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:04	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:10	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-04-02, 14:05:34	0 Hz	0 W	1E3 mbar	6,8E2 mbar
2026-04-02, 14:05:36	0 Hz	0 W	1E3 mbar	4,8E2 mbar
2026-04-02, 14:05:38	0 Hz	0 W	1E3 mbar	3,6E2 mbar
2026-04-02, 14:05:40	0 Hz	0 W	1E3 mbar	2,9E2 mbar
2026-04-02, 14:05:42	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-04-02, 14:05:44	0 Hz	0 W	1E3 mbar	1,8E2 mbar
2026-04-02, 14:05:46	0 Hz	0 W	1E3 mbar	1,5E2 mbar
2026-04-02, 14:05:48	0 Hz	0 W	4,7E2 mbar	1,1E2 mbar
2026-04-02, 14:05:50	0 Hz	0 W	2,9E2 mbar	9,1E1 mbar
2026-04-02, 14:05:52	0 Hz	0 W	1,9E2 mbar	8E1 mbar
2026-04-02, 14:05:54	0 Hz	0 W	1,5E2 mbar	6,6E1 mbar
2026-04-02, 14:05:56	0 Hz	0 W	1E2 mbar	5,9E1 mbar
2026-04-02, 14:05:58	0 Hz	0 W	9,2E1 mbar	5,1E1 mbar
2026-04-02, 14:06:00	0 Hz	0 W	7E1 mbar	4,3E1 mbar
2026-04-02, 14:06:02	0 Hz	0 W	6,1E1 mbar	3,8E1 mbar
2026-04-02, 14:06:04	0 Hz	0 W	5,2E1 mbar	3,5E1 mbar
2026-04-02, 14:06:06	0 Hz	0 W	4,2E1 mbar	3,2E1 mbar
2026-04-02, 14:06:08	0 Hz	0 W	3,7E1 mbar	2,8E1 mbar
2026-04-02, 14:06:10	0 Hz	0 W	3,3E1 mbar	2,5E1 mbar
2026-04-02, 14:06:12	0 Hz	0 W	3E1 mbar	2,1E1 mbar
2026-04-02, 14:06:14	0 Hz	0 W	2,6E1 mbar	1,9E1 mbar
2026-04-02, 14:06:16	0 Hz	0 W	2,3E1 mbar	1,7E1 mbar
2026-04-02, 14:06:18	0 Hz	0 W	1,9E1 mbar	1,6E1 mbar
2026-04-02, 14:06:20	0 Hz	0 W	1,8E1 mbar	1,5E1 mbar
2026-04-02, 14:06:22	0 Hz	0 W	1,7E1 mbar	1,3E1 mbar
2026-04-02, 14:06:24	0 Hz	0 W	1,5E1 mbar	1,2E1 mbar
2026-04-02, 14:06:26	0 Hz	0 W	1,4E1 mbar	1,1E1 mbar
2026-04-02, 14:06:28	0 Hz	0 W	1,3E1 mbar	9,9E0 mbar
2026-04-02, 14:06:30	0 Hz	0 W	1,1E1 mbar	9,4E0 mbar
2026-04-02, 14:06:32	0 Hz	0 W	1,1E1 mbar	8,9E0 mbar
2026-04-02, 14:06:34	0 Hz	0 W	9,9E0 mbar	8,4E0 mbar
2026-04-02, 14:06:36	0 Hz	0 W	9,4E0 mbar	8,1E0 mbar
2026-04-02, 14:06:38	0 Hz	0 W	9E0 mbar	7,6E0 mbar
2026-04-02, 14:06:40	0 Hz	0 W	8,6E0 mbar	7,2E0 mbar
2026-04-02, 14:06:42	0 Hz	0 W	8,2E0 mbar	6,9E0 mbar
2026-04-02, 14:06:44	0 Hz	0 W	7,8E0 mbar	6,8E0 mbar
2026-04-02, 14:06:46	0 Hz	0 W	7,5E0 mbar	6,6E0 mbar
2026-04-02, 14:06:48	0 Hz	0 W	7,2E0 mbar	6,4E0 mbar
2026-04-02, 14:06:50	0 Hz	0 W	6,9E0 mbar	6,3E0 mbar
2026-04-02, 14:06:52	0 Hz	0 W	6,8E0 mbar	6,2E0 mbar
2026-04-02, 14:06:54	0 Hz	0 W	6,7E0 mbar	6E0 mbar
2026-04-02, 14:06:56	0 Hz	0 W	6,5E0 mbar	5,9E0 mbar
2026-04-02, 14:06:58	0 Hz	0 W	6,4E0 mbar	5,8E0 mbar
2026-04-02, 14:07:00	0 Hz	0 W	6,3E0 mbar	5,7E0 mbar
2026-04-02, 14:07:02	0 Hz	0 W	6,2E0 mbar	5,6E0 mbar
2026-04-02, 14:07:04	0 Hz	0 W	6,2E0 mbar	5,5E0 mbar
2026-04-02, 14:07:06	0 Hz	0 W	6,1E0 mbar	5,5E0 mbar
2026-04-02, 14:07:08	0 Hz	0 W	6E0 mbar	5,4E0 mbar
2026-04-02, 14:07:10	0 Hz	0 W	5,9E0 mbar	5,3E0 mbar
2026-04-02, 14:07:12	0 Hz	0 W	5,9E0 mbar	5,2E0 mbar
2026-04-02, 14:07:14	0 Hz	0 W	5,8E0 mbar	5,2E0 mbar
2026-04-02, 14:07:16	0 Hz	0 W	5,7E0 mbar	5,1E0 mbar
2026-04-02, 14:07:18	0 Hz	0 W	5,7E0 mbar	5,1E0 mbar
2026-04-02, 14:07:20	0 Hz	0 W	5,6E0 mbar	5E0 mbar
2026-04-02, 14:07:22	0 Hz	0 W	5,6E0 mbar	5E0 mbar
2026-04-02, 14:07:24	0 Hz	0 W	5,6E0 mbar	4,9E0 mbar
2026-04-02, 14:07:26	0 Hz	0 W	5,5E0 mbar	4,9E0 mbar
2026-04-02, 14:07:28	0 Hz	0 W	5,5E0 mbar	4,8E0 mbar
2026-04-02, 14:07:30	0 Hz	0 W	5,4E0 mbar	4,8E0 mbar
2026-04-02, 14:07:32	0 Hz	0 W	5,4E0 mbar	4,8E0 mbar
2026-04-02, 14:07:34	0 Hz	0 W	5,4E0 mbar	4,7E0 mbar
2026-04-02, 14:07:36	0 Hz	0 W	5,3E0 mbar	4,7E0 mbar
2026-04-02, 14:07:38	0 Hz	0 W	5,3E0 mbar	4,7E0 mbar
2026-04-02, 14:07:40	0 Hz	0 W	5,3E0 mbar	4,6E0 mbar
2026-04-02, 14:07:42	0 Hz	0 W	5,2E0 mbar	4,6E0 mbar
2026-04-02, 14:07:44	0 Hz	0 W	5,2E0 mbar	4,6E0 mbar
2026-04-02, 14:07:46	0 Hz	0 W	5,2E0 mbar	4,6E0 mbar
2026-04-02, 14:07:48	0 Hz	0 W	5,2E0 mbar	4,5E0 mbar
2026-04-02, 14:07:50	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2026-04-02, 14:07:52	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2026-04-02, 14:07:54	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2026-04-02, 14:07:56	0 Hz	0 W	5,1E0 mbar	4,4E0 mbar
2026-04-02, 14:07:58	0 Hz	0 W	5,1E0 mbar	4,4E0 mbar
2026-04-02, 14:08:00	0 Hz	0 W	5,1E0 mbar	4,4E0 mbar
2026-04-02, 14:08:02	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2026-04-02, 14:08:04	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2026-04-02, 14:08:06	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2026-04-02, 14:08:08	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2026-04-02, 14:08:10	0 Hz	0 W	5E0 mbar	4,3E0 mbar
2026-04-02, 14:08:12	0 Hz	0 W	5E0 mbar	4,3E0 mbar
