date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2026-03-26, 15:13:16	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2026-03-26, 15:13:18	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2026-03-26, 15:13:20	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2026-03-26, 15:13:22	0 Hz	0 W	4,4E0 mbar	3,8E0 mbar
2026-03-26, 15:13:24	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:26	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:28	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:30	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:32	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:34	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:36	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:38	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:40	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:42	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:44	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:46	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:48	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:50	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:52	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:54	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:56	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:13:58	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:00	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:02	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:04	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:06	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:08	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:10	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:12	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:14	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:16	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
