t (s),V (mV)
0,14.3826
0.999,14.3692
2,14.3563
3,14.3429
4,14.3291
5,14.3148
6,14.3017
7,14.2886
7.999,14.2751
9,14.2613
10,14.2453
11,14.2317
11.999,14.2171
13,14.2016
14,14.1882
15,14.1751
16,14.1589
17,14.1433
18,14.1297
19,14.1143
20,14.099
21,14.0846
21.999,14.0695
23,14.0547
24,14.0395
24.999,14.0247
26,14.0094
27,13.9944
27.999,13.9807
29,13.9644
30,13.9491
31,13.9336
32,13.918
33,13.9037
33.999,13.8897
35,13.8747
36,13.8607
37,13.8449
38,13.8308
39,13.8154
40,13.7993
41,13.7831
42,13.7691
43,13.755
43.999,13.7407
45,13.7259
46,13.7123
46.999,13.698
48,13.6825
49,13.6683
50,13.6547
51,13.6403
51.999,13.625
53,13.6094
54,13.595
55,13.582
56,13.5675
57,13.5525
57.999,13.5377
59,13.5231
60,13.5089
61,13.4946
62,13.4804
63,13.4664
64,13.4522
65,13.4374
65.999,13.4228
67,13.4092
68,13.3956
69,13.381
70,13.3666
71,13.3527
72,13.3391
73,13.3249
74,13.3106
75,13.296
76,13.2822
77,13.2682
78,13.2554
79,13.242
80,13.2276
81,13.214
82,13.2023
82.999,13.1882
84,13.1748
84.999,13.1611
86,13.1486
86.999,13.1358
88,13.1212
89,13.1063
90,13.0928
90.999,13.0807
92,13.0656
93,13.0521
94,13.0395
95,13.0269
96,13.0136
97,13.0016
97.999,12.9883
99,12.9756
100,12.9619
101,12.9497
102,12.9359
103,12.9219
104,12.9084
105,12.8947
106,12.8808
106.999,12.8671
108,12.8542
109,12.8415
110,12.8288
111,12.8151
112,12.8015
113,12.789
114,12.7754
115,12.7621
116,12.7487
117,12.7366
118,12.7242
119,12.7109
120,12.6984
121,12.685
122,12.6717
123,12.6586
124,12.6455
125,12.6327
126,12.6199
127,12.6067
128,12.5947
129,12.583
129.999,12.5694
131,12.5569
132,12.544
133,12.5308
134,12.5192
134.999,12.5062
136,12.4936
137,12.4818
137.999,12.4685
139,12.4565
140,12.445
140.999,12.4316
142,12.4187
143,12.4061
144,12.3942
145,12.3822
146,12.3695
147,12.3566
148,12.344
149,12.332
150,12.3215
151,12.3082
152,12.2949
153,12.2833
154,12.2699
155,12.2587
156,12.247
157,12.2342
158,12.2218
159,12.2104
160,12.1975
161,12.1853
162,12.1722
163,12.1604
164,12.149
165,12.1372
165.999,12.1237
167,12.1131
168,12.1011
169,12.0893
170,12.0771
171,12.0641
172,12.0531
173,12.0421
174,12.0311
175,12.0182
176,12.0072
177,11.9949
178,11.9825
179,11.9721
180,11.9611
181,11.9484
182,11.937
183,11.9257
184,11.9137
185,11.9032
186,11.8919
187,11.8792
188,11.8674
188.999,11.8563
190,11.8448
190.999,11.833
192,11.8214
193,11.8093
194,11.7976
195,11.7866
196,11.7742
197,11.7628
198,11.7532
199,11.742
200,11.7303
201,11.7189
202,11.7084
203,11.6965
204,11.6844
205,11.6729
205.999,11.6632
207,11.6515
208,11.6403
208.999,11.6283
210,11.6163
211,11.6045
212,11.5929
213,11.5816
214,11.5714
215,11.5606
216,11.5496
217,11.5386
218,11.5277
219,11.5155
220,11.5055
221,11.4935
222,11.4818
223,11.4697
224,11.4588
225,11.4479
226,11.436
227,11.4247
228,11.4136
229,11.4019
230,11.3906
231,11.3801
232,11.3685
233,11.3582
234,11.3473
235,11.3368
236,11.3255
236.999,11.3155
238,11.3032
239,11.293
239.999,11.2814
241,11.2693
242,11.2588
243,11.2479
243.999,11.2381
245,11.2269
246,11.2149
247,11.2038
248,11.1937
249,11.1832
249.999,11.1727
251,11.1615
252,11.1501
253,11.1405
254,11.1297
254.999,11.1192
256,11.1085
257,11.0981
258,11.0863
258.999,11.0769
260,11.0647
261,11.0544
262,11.0443
263,11.0342
264,11.0225
265,11.0124
265.999,11.0023
267,10.991
268,10.9809
269,10.9713
270,10.9603
271,10.951
272,10.9413
273,10.9307
274,10.9201
274.999,10.9116
276,10.9005
277,10.8914
278,10.8809
279,10.8689
280,10.8598
281,10.8496
282,10.8382
283,10.8285
283.999,10.8184
285,10.8073
286,10.7974
287,10.7871
288,10.777
289,10.7661
290,10.7557
291,10.7457
292,10.7351
293,10.7256
293.999,10.7153
295,10.7044
296,10.6946
297,10.6844
297.999,10.6736
299,10.6621
300,10.6533
301,10.6432
302,10.6337
303,10.6225
303.999,10.6133
305,10.6029
305.999,10.5928
306.999,10.5829
307.999,10.572
308.998,10.5628
309.999,10.5531
310.999,10.5421
311.999,10.5309
312.998,10.5214
313.999,10.5117
314.999,10.5014
315.999,10.4917
316.999,10.4814
317.999,10.4726
318.999,10.4633
319.999,10.4538
320.999,10.4453
321.999,10.4355
322.999,10.4251
323.998,10.4144
324.999,10.4049
325.999,10.3958
326.998,10.3863
327.999,10.3768
328.999,10.3674
329.999,10.3573
330.999,10.3471
331.998,10.3375
332.999,10.3284
333.999,10.3188
334.998,10.3089
335.999,10.2997
336.999,10.2896
337.998,10.2791
338.999,10.2704
339.999,10.2597
340.999,10.2512
341.998,10.2402
342.999,10.2314
343.999,10.2225
344.999,10.2126
345.999,10.2038
346.999,10.1941
347.999,10.1849
348.999,10.1752
349.999,10.166
350.999,10.1566
351.999,10.1471
352.999,10.1376
353.998,10.1298
354.998,10.1202
355.999,10.1097
356.999,10.102
357.999,10.0924
358.999,10.0834
359.998,10.0743
360.999,10.0656
361.999,10.0569
362.999,10.048
363.999,10.0392
364.999,10.0302
365.999,10.0204
366.999,10.0124
367.999,10.003
368.999,9.9933
369.999,9.9845
370.999,9.9761
372,9.9667
373,9.9576
374,9.9486
375,9.9398
376.001,9.9305
377,9.922
378,9.9137
379,9.9045
379.999,9.8962
381,9.8872
382,9.8777
383.001,9.8696
384,9.8605
385,9.8516
386,9.8432
387,9.8342
388,9.8256
389,9.8175
389.999,9.8089
391,9.7993
392,9.7899
393,9.7816
394,9.7724
395,9.7634
396,9.7551
397,9.7459
398,9.7372
399,9.7266
400,9.7179
401,9.7081
402,9.6996
403,9.691
404,9.6818
405,9.674
406,9.6637
407,9.656
408,9.647
409,9.6381
410,9.6277
411,9.6194
412,9.6109
413,9.6032
414,9.595
415,9.5861
416,9.5779
417,9.5697
418,9.5602
419,9.5504
420,9.5417
421,9.5335
422,9.5246
423,9.5167
424,9.5072
425,9.4995
426,9.4912
427,9.4821
427.999,9.4733
429,9.4648
430,9.4564
431,9.4472
432,9.4388
433,9.4303
434,9.4222
435,9.4138
436,9.4047
437,9.3971
438,9.3882
439,9.3805
440,9.3724
441,9.3639
442.001,9.3557
443,9.3459
444,9.3384
445,9.3296
446,9.3215
447,9.3136
448,9.3049
449,9.2956
450,9.2872
451,9.2784
452,9.2704
453,9.2615
454,9.2537
455,9.2451
456.001,9.2368
457,9.229
458,9.2208
459,9.2117
460,9.2044
461,9.1953
462,9.1867
463,9.1778
463.999,9.1703
465,9.1619
466,9.1531
467,9.1446
468,9.1359
469,9.1272
470,9.12
471,9.1125
472,9.1036
473,9.0961
474,9.088
475,9.0804
476,9.0728
477,9.0641
478,9.0561
479,9.0479
480,9.0404
481,9.0323
482,9.024
