t (s),V (mV)
386.19,10.4353
387.19,10.427
388.19,10.4189
389.189,10.4112
390.19,10.4036
391.19,10.3963
392.19,10.3862
393.189,10.378
394.189,10.3704
395.19,10.3613
396.19,10.3538
397.19,10.3454
398.19,10.3365
399.19,10.3281
400.19,10.3209
401.189,10.3121
402.19,10.3048
403.19,10.2969
404.19,10.2886
405.19,10.2804
406.19,10.2716
407.189,10.2627
408.19,10.2553
409.189,10.247
410.19,10.239
411.19,10.2307
412.19,10.2227
413.19,10.2152
414.19,10.2068
415.19,10.1986
416.189,10.1894
417.19,10.183
418.19,10.1748
419.19,10.1666
420.19,10.1587
421.19,10.1506
422.19,10.1435
423.19,10.1347
424.19,10.1263
425.19,10.1189
426.19,10.1106
427.19,10.103
428.19,10.0948
429.189,10.0856
430.189,10.0779
431.19,10.0694
432.19,10.0622
433.19,10.0537
434.19,10.0457
435.19,10.0379
