t (s),V (mV)
0,14.4992
1.05,14.4908
2.1,14.4756
3.15,14.4669
4.191,14.4544
5.191,14.443
6.19,14.4304
7.191,14.4172
8.191,14.4048
9.191,14.3917
10.191,14.3791
11.191,14.3652
12.191,14.352
13.19,14.3391
14.191,14.327
15.191,14.3154
16.191,14.3024
17.19,14.2895
18.191,14.2758
19.191,14.2622
20.191,14.2495
21.191,14.237
22.191,14.2242
23.191,14.2105
24.191,14.1978
25.191,14.184
26.191,14.1705
27.191,14.1573
28.191,14.1446
29.191,14.1302
30.191,14.1186
31.191,14.1053
32.191,14.0927
33.191,14.0794
34.191,14.0677
35.19,14.0541
36.191,14.0416
37.191,14.0288
38.19,14.016
39.191,14.0036
40.191,13.9896
41.191,13.9763
42.19,13.9656
43.191,13.9531
44.191,13.9396
45.19,13.9259
46.191,13.9131
47.191,13.9009
48.191,13.888
49.19,13.8752
50.191,13.864
51.191,13.8512
52.19,13.8394
53.191,13.8275
54.191,13.8141
55.191,13.8014
56.19,13.7889
57.191,13.7771
58.191,13.7648
59.191,13.7517
60.19,13.7383
61.191,13.7263
62.191,13.7146
63.191,13.7033
64.19,13.6892
65.191,13.6763
66.191,13.6648
67.191,13.6522
68.191,13.6408
69.191,13.6289
70.19,13.6154
71.191,13.603
72.191,13.5915
73.191,13.5806
74.19,13.5683
75.191,13.5567
76.191,13.5439
77.191,13.532
78.191,13.5189
79.191,13.5056
80.191,13.4935
81.191,13.4819
82.191,13.4701
83.19,13.4603
84.191,13.4478
85.191,13.4344
86.191,13.4233
87.19,13.4119
88.191,13.4007
89.19,13.3885
90.191,13.3771
91.191,13.3664
92.191,13.354
93.191,13.342
94.191,13.3297
95.191,13.3178
96.191,13.3072
97.191,13.2968
98.19,13.2844
99.191,13.2724
100.191,13.2607
101.19,13.2493
102.191,13.2385
103.191,13.2264
104.191,13.2157
105.19,13.2036
106.191,13.1925
107.191,13.1806
108.191,13.1692
109.191,13.1577
110.191,13.1455
111.19,13.1348
112.191,13.1234
113.191,13.1114
114.191,13.0992
115.191,13.088
116.19,13.0753
117.191,13.0627
118.191,13.0519
119.191,13.0403
120.191,13.0275
121.191,13.0157
122.191,13.0041
123.19,12.9932
124.191,12.9815
125.191,12.9688
126.191,12.9576
127.191,12.9466
128.19,12.936
129.191,12.925
130.19,12.914
131.191,12.9034
132.191,12.8927
133.191,12.8814
134.191,12.8699
135.191,12.8587
136.191,12.8477
137.19,12.8359
138.191,12.8254
139.19,12.814
140.191,12.8025
141.191,12.7916
142.191,12.7808
143.191,12.769
144.191,12.758
145.191,12.7461
146.191,12.7349
147.191,12.7262
148.191,12.7134
149.191,12.7035
150.191,12.692
151.191,12.6815
152.191,12.6701
153.19,12.6592
154.191,12.6472
155.191,12.6365
156.191,12.6263
157.191,12.6147
158.19,12.6049
159.191,12.5941
160.191,12.5829
161.191,12.572
162.191,12.5609
163.191,12.5483
164.191,12.5378
165.191,12.5262
166.191,12.5163
167.191,12.5056
168.191,12.4945
169.191,12.4842
170.19,12.4735
171.191,12.4621
172.191,12.4504
173.191,12.4394
174.191,12.4283
175.191,12.4181
176.191,12.4072
177.191,12.3954
178.191,12.3834
179.191,12.3729
180.191,12.3625
181.19,12.3521
182.191,12.3415
183.191,12.3312
184.191,12.3209
185.191,12.3102
186.192,12.3003
187.191,12.2903
188.191,12.2804
189.191,12.2692
190.191,12.2601
191.191,12.2493
192.191,12.2392
193.191,12.2297
194.191,12.2199
195.191,12.2108
196.191,12.1997
197.191,12.1896
198.191,12.1796
199.19,12.1685
200.191,12.1592
201.191,12.1488
202.191,12.1386
203.191,12.1286
204.191,12.1188
205.191,12.1086
206.191,12.0993
207.19,12.0886
208.191,12.0798
209.191,12.0694
210.191,12.0584
211.191,12.0488
212.191,12.0383
213.191,12.028
214.191,12.0182
215.191,12.0083
216.191,11.9973
217.191,11.9873
218.191,11.9771
219.191,11.9678
220.19,11.9567
221.191,11.9472
222.191,11.9384
223.191,11.9276
224.191,11.9165
225.191,11.906
226.191,11.8966
227.191,11.8862
228.191,11.8768
229.191,11.8669
230.191,11.8561
231.191,11.8467
232.191,11.837
233.191,11.828
234.191,11.8174
235.191,11.8074
236.192,11.7975
237.191,11.7879
238.191,11.7776
239.19,11.7687
240.191,11.7588
241.19,11.7483
242.191,11.7388
243.191,11.7281
244.191,11.7188
245.191,11.7085
246.19,11.6991
247.191,11.6894
248.191,11.6796
249.191,11.67
250.19,11.6609
251.191,11.6514
252.191,11.6423
253.191,11.6326
254.191,11.6223
255.19,11.6131
256.191,11.6033
257.191,11.5942
258.191,11.5853
259.191,11.5761
260.191,11.5653
261.191,11.5556
262.191,11.5471
263.191,11.5372
264.191,11.5272
265.191,11.5179
266.191,11.5085
267.19,11.497
268.191,11.4893
269.191,11.4785
270.191,11.4686
271.191,11.46
272.191,11.451
273.191,11.4407
274.191,11.4312
275.191,11.422
276.19,11.4127
277.191,11.4039
278.191,11.3935
279.191,11.3835
280.191,11.3739
281.191,11.3653
282.191,11.3552
283.191,11.3456
284.19,11.3357
285.191,11.3258
286.191,11.3165
287.191,11.3083
288.191,11.2992
289.191,11.2895
290.191,11.2799
291.191,11.2708
292.191,11.2617
293.191,11.2516
294.191,11.2414
295.191,11.2329
296.19,11.2229
297.191,11.214
298.191,11.2048
299.191,11.1956
300.19,11.1875
301.191,11.1787
302.191,11.1687
303.191,11.1596
304.19,11.1506
305.191,11.1413
306.19,11.1321
307.191,11.1215
308.191,11.1137
309.191,11.1039
310.19,11.0947
311.191,11.0856
312.191,11.0771
313.19,11.0693
314.191,11.0602
315.191,11.0499
316.191,11.0412
317.19,11.0314
318.191,11.0227
319.191,11.0138
320.191,11.0056
321.191,10.9969
322.191,10.9872
323.191,10.9784
324.191,10.9694
325.191,10.9612
326.191,10.9523
327.191,10.9442
328.191,10.9368
329.191,10.9265
330.191,10.9175
331.191,10.9092
332.191,10.9015
333.191,10.892
334.19,10.8826
335.191,10.8744
336.191,10.865
337.191,10.8566
338.191,10.8482
339.191,10.8397
340.191,10.8303
341.191,10.8214
342.191,10.8126
343.191,10.8049
344.191,10.795
345.191,10.7862
346.191,10.7773
347.191,10.7686
348.191,10.7602
349.191,10.7521
350.191,10.7448
351.19,10.7362
352.191,10.7265
353.191,10.7186
354.191,10.7084
355.191,10.7004
356.191,10.6909
357.191,10.6821
358.191,10.6739
359.191,10.6649
360.191,10.6563
361.191,10.647
362.191,10.6384
363.19,10.631
364.191,10.6226
365.191,10.6142
366.191,10.605
367.19,10.5969
368.19,10.5874
369.19,10.5791
370.19,10.5714
371.189,10.5611
372.19,10.5531
373.19,10.544
374.19,10.5358
375.19,10.5283
376.19,10.5198
377.19,10.5111
378.19,10.5025
379.189,10.4933
380.19,10.4855
381.19,10.4773
382.19,10.4682
383.19,10.4602
384.189,10.452
385.19,10.4444
