t (s),V (mV)
0,14.2811
1,14.2599
2,14.2383
3,14.2168
4,14.194
5,14.1718
6,14.1485
6.999,14.1267
8,14.1027
9,14.0796
10,14.0549
10.999,14.0321
11.999,14.0083
13,13.986
14,13.9628
15,13.9402
15.999,13.9153
16.999,13.8923
18,13.8702
19,13.8489
19.999,13.8253
21,13.8032
22,13.7802
23,13.7589
24,13.7354
25,13.7126
26,13.6901
27,13.6672
28,13.6454
28.999,13.6221
30,13.5989
31,13.578
32,13.5542
33,13.5331
34,13.5109
34.999,13.4883
36,13.4652
37,13.4439
37.999,13.4206
39,13.398
40,13.3764
41,13.3544
42,13.3328
43,13.3105
44,13.2876
45,13.2668
46,13.2444
47,13.2235
48,13.2025
49,13.1795
50,13.1583
50.999,13.1374
52,13.1154
53,13.0945
54,13.0741
55,13.0515
56,13.031
57,13.0095
58,12.988
58.999,12.9663
60,12.9457
61,12.9241
62,12.9038
63,12.8826
64,12.8619
65,12.84
66,12.8193
67,12.7977
68,12.7765
69,12.7568
70,12.7353
70.999,12.715
72,12.6936
72.999,12.6735
74,12.6524
75,12.6315
76,12.6113
77,12.5907
78,12.5711
79,12.5505
80,12.5295
81,12.5097
81.999,12.4889
83,12.4685
84,12.4482
84.999,12.4286
86,12.4091
87,12.3901
87.999,12.37
89,12.3492
90,12.3292
91,12.3091
92,12.2897
93,12.2696
93.999,12.2501
95,12.23
96,12.2103
97,12.1909
98,12.1725
98.999,12.1527
100,12.1328
101,12.1131
102,12.094
102.999,12.077
104,12.0576
104.999,12.0373
106,12.0191
106.999,11.9997
108,11.9797
109,11.9598
110,11.9402
111,11.9223
112.001,11.9033
113,11.884
114,11.864
114.999,11.8464
116,11.8267
116.999,11.8088
118,11.7882
118.999,11.7704
120,11.7509
121,11.7323
122,11.7134
123,11.6956
124,11.6765
125,11.6588
126,11.6402
127,11.6215
127.999,11.6036
129,11.584
129.999,11.5666
131,11.5479
132,11.5295
133,11.5114
134,11.4942
135,11.4755
136,11.4569
137,11.4377
138,11.4198
139,11.4012
140,11.3827
141,11.3661
142,11.3479
143,11.3297
143.999,11.3131
145,11.2958
146,11.2775
147,11.261
148,11.2417
148.999,11.2255
150,11.2082
151,11.1904
151.999,11.1725
153,11.1547
154,11.1375
155,11.1198
156,11.1037
157,11.0874
158,11.0708
158.999,11.0524
160,11.0368
160.999,11.0191
162,11.0031
163,10.9865
164,10.97
165,10.9523
166,10.9351
167,10.9179
168,10.901
168.999,10.884
170,10.867
170.999,10.8509
172,10.8328
173,10.8168
174,10.7995
175,10.783
176.001,10.7655
177,10.7478
178,10.7316
179,10.7146
180,10.6979
181,10.6811
182,10.6645
183,10.6474
184,10.6317
184.999,10.6149
185.999,10.5979
186.999,10.5807
187.999,10.5642
188.999,10.5488
189.999,10.532
190.999,10.5164
191.998,10.4995
192.999,10.4827
193.999,10.4674
194.999,10.4501
195.999,10.4335
196.999,10.4176
197.999,10.4014
198.999,10.3869
199.998,10.3709
200.999,10.3546
201.999,10.338
202.999,10.3231
203.999,10.3068
204.999,10.2913
205.998,10.275
206.999,10.2592
207.999,10.2434
208.999,10.2279
209.999,10.2129
210.999,10.197
211.998,10.182
212.999,10.167
213.999,10.1513
214.998,10.1358
215.998,10.12
216.999,10.1052
217.999,10.0901
218.999,10.0736
220,10.0584
221,10.0442
221.999,10.028
222.999,10.0134
224,9.9972
225,9.9826
226,9.9668
227,9.9517
228,9.9369
229,9.9211
230,9.9067
231,9.8914
232,9.8768
233,9.8613
234,9.8466
235,9.8317
236,9.8167
237,9.8013
238,9.7855
238.999,9.7713
240,9.7569
241,9.7421
242,9.7261
243,9.7117
244,9.6976
245,9.6826
246,9.6664
247,9.6505
248,9.6365
249,9.6222
250,9.6076
251,9.5929
252,9.5783
253,9.5637
254,9.5489
255,9.534
256,9.5201
257,9.5056
258,9.4913
259,9.4768
260,9.4633
261,9.4493
262,9.4352
263,9.4217
264,9.4071
265,9.3932
266,9.3793
267,9.3652
268,9.3496
269,9.3357
270,9.3218
271,9.3077
272,9.2936
273,9.28
274,9.2653
275,9.2522
276,9.2376
277,9.2234
278,9.2106
279,9.1969
280,9.1831
280.999,9.169
282,9.1553
283,9.1409
284,9.1278
285,9.1139
286,9.0982
287,9.0851
288,9.071
289,9.0566
290,9.0436
291,9.0304
292,9.0161
293,9.0031
294,8.989
295,8.9757
295.999,8.962
296.999,8.9483
298,8.9357
299,8.9221
300,8.9095
300.999,8.8949
302,8.8821
303,8.8689
304,8.8546
305,8.8415
306,8.8279
307,8.815
308,8.8008
309,8.7881
310,8.7738
311,8.7616
312,8.7488
313,8.7358
314,8.7232
315,8.7106
316,8.6978
317,8.6839
318,8.6722
319,8.6591
320,8.6473
321,8.6346
322,8.6231
323,8.61
324,8.5964
325,8.5833
326,8.5723
327,8.5598
328,8.5468
329,8.5349
330,8.5226
331,8.5088
332,8.4968
333,8.4827
334,8.4706
335,8.458
336,8.4446
337,8.4327
338,8.4204
339,8.4085
340,8.3955
341,8.383
342,8.371
343,8.3595
344,8.3459
345,8.3346
346,8.3221
347,8.3094
348,8.2973
349,8.2861
350,8.2738
351,8.2612
352,8.2497
353,8.2387
354,8.2252
355,8.2132
356,8.2014
357,8.1896
358,8.1763
359,8.1659
360,8.1534
361,8.1419
362,8.1296
363,8.1183
364,8.1065
365,8.0952
366,8.083
367,8.0712
368,8.0592
369,8.0482
370,8.0367
371,8.0246
372,8.0126
373,7.9996
374,7.9889
375,7.9771
376,7.9655
377,7.9529
378,7.9421
379,7.9307
380,7.919
381,7.9074
382,7.8961
383,7.8844
384,7.8728
384.999,7.8617
385.999,7.8505
387,7.8389
388,7.8272
389,7.8156
390,7.8047
391,7.7931
392,7.7815
393,7.7702
394,7.7583
395,7.7475
396,7.7363
397,7.7257
398,7.7138
399,7.7024
400,7.6909
401,7.6798
402,7.6688
403,7.6576
404,7.6466
405,7.6342
405.999,7.6243
406.999,7.6129
408,7.6023
409,7.5914
410,7.5797
411,7.569
412,7.5584
413,7.548
414,7.5355
414.999,7.5272
416,7.5156
417,7.505
418,7.4945
419,7.4829
420,7.4724
421,7.4614
422,7.4508
