Time,Value,Value_2ND, ,DateTime : ( 25 / 07 / 30 -- 02 : 19 : 51 )
"21 : 53 : 25",17.45097160000000, 
"21 : 53 : 26",17.45105360000000, 
"21 : 53 : 27",17.45147890000000, 
"21 : 53 : 28",17.45106120000000, 
"21 : 53 : 29",17.45165630000000, 
"21 : 53 : 30",17.44988630000000, 
"21 : 53 : 31",17.45099060000000, 
"21 : 53 : 32",17.45085900000000, 
"21 : 53 : 33",17.45041840000000, 
"21 : 53 : 34",17.45109740000000, 
"21 : 53 : 35",17.45086090000000, 
"21 : 53 : 36",17.45081710000000, 
"21 : 53 : 37",17.45207020000000, 
"21 : 53 : 38",17.45175170000000, 
"21 : 53 : 39",17.45116420000000, 
"21 : 53 : 40",17.45009040000000, 
"21 : 53 : 41",17.45071220000000, 
"21 : 53 : 42",17.45071220000000, 
"21 : 53 : 43",17.45049660000000, 
"21 : 53 : 44",17.45081520000000, 
"21 : 53 : 45",17.45056150000000, 
"21 : 53 : 46",17.45093910000000, 
"21 : 53 : 47",17.45052900000000, 
"21 : 53 : 48",17.45083420000000, 
"21 : 53 : 49",17.45104020000000, 
"21 : 53 : 50",17.45155330000000, 
"21 : 53 : 51",17.45119470000000, 
"21 : 53 : 52",17.45173260000000, 
"21 : 53 : 53",17.45051190000000, 
"21 : 53 : 54",17.45096390000000, 
"21 : 53 : 55",17.45039740000000, 
"21 : 53 : 56",17.45170970000000, 
"21 : 53 : 57",17.45103830000000, 
"21 : 53 : 58",17.45128250000000, 
"21 : 53 : 59",17.45085330000000, 
"21 : 54 : 00",17.45242880000000, 
"21 : 54 : 01",17.45234100000000, 
"21 : 54 : 02",17.45166010000000, 
"21 : 54 : 03",17.45174400000000, 
"21 : 54 : 04",17.45146170000000, 
"21 : 54 : 05",17.45136070000000, 
"21 : 54 : 06",17.45054240000000, 
"21 : 54 : 07",17.45204350000000, 
"21 : 54 : 08",17.45095630000000, 
"21 : 54 : 09",17.45183560000000, 
"21 : 54 : 10",17.45131300000000, 
"21 : 54 : 11",17.45201870000000, 
"21 : 54 : 12",17.45184700000000, 
"21 : 54 : 13",17.45146560000000, 
"21 : 54 : 14",17.45133390000000, 
"21 : 54 : 15",17.45102690000000, 
"21 : 54 : 16",17.45240020000000, 
"21 : 54 : 17",17.45169060000000, 
"21 : 54 : 18",17.45089910000000, 
"21 : 54 : 19",17.45184510000000, 
"21 : 54 : 20",17.45095630000000, 
"21 : 54 : 21",17.45133590000000, 
"21 : 54 : 22",17.45135300000000, 
"21 : 54 : 23",17.45176500000000, 
"21 : 54 : 24",17.45093150000000, 
"21 : 54 : 25",17.45151900000000, 
"21 : 54 : 26",17.45213890000000, 
"21 : 54 : 27",17.45210830000000, 
"21 : 54 : 28",17.45157240000000, 
"21 : 54 : 29",17.45181840000000, 
"21 : 54 : 30",17.45149040000000, 
"21 : 54 : 31",17.45187950000000, 
"21 : 54 : 32",17.45094680000000, 
"21 : 54 : 33",17.45154190000000, 
"21 : 54 : 34",17.45186800000000, 
"21 : 54 : 35",17.45123480000000, 
